input,ideal
"(CNN)We want our killers to be kind. To walk into court and show remorse, tell us that they are really nice people who only did it because they feared for their lives, or they were temporarily insane. Even though those things may not be true, too often they are accepted as legitimate excuses for murder. Well, Aaron Hernandez, the former New England Patriots tight end and now convicted murderer, made none of those excuses. He walked into court with an air of bravado, his head held high like the $40 million, NFL superstar he was just a couple of years ago. Several times he was even caught winking at his fiancee, Shayanna Jenkins, during the trial. And we didn't like his swagger. Hernandez didn't offer a plausible alibi. He didn't look ashamed or remorseful. He never wept. His own attorney, James Sultan, admitted that Hernandez ""witnessed"" the killing of Odin Lloyd, ""committed by somebody he knew,"" but said his client did not commit the crime. Even before the guilty verdict came down Wednesday, for many -- at least those covering the trial -- audacity seemed to be the defendant's biggest crime. ""The Arrogance of Aaron Hernandez,"" a New Yorker headline accused. I don't get it. What does it matter that Hernandez was arrogant in court, or walked with too much swagger, or even smiled at his girl? Like it or not, that is who he is. The evidence is what matters. And for once, this time it appears the jury carefully considered the damning mountain of circumstantial evidence against this defendant and came to the right decision: guilty of first-degree murder in the 2013 slaying of Odin Lloyd. Hernandez, 25, was sentenced to life without the possibility of parole. He was also found guilty of unlawful possession of a firearm and unlawful possession of ammunition. It was the right decision. Still, it's hard not to feel sadness over such a senseless waste of life for both Lloyd and now Hernandez, who were once friends. Football was the best thing Hernandez ever had, especially after he father died suddenly after a routine hernia surgery in 2006. Hernandez was 16. After that his life got complicated. At 17, Hernandez went off to the University of Florida and seemed headed for greatness. There he won the John Mackey Award as the nation's best tight end and led the team in receiving during its 2009 Bowl Championship Series win. But off the field, his life was to beginning to unravel. Trouble started: bar fights, reports of marijuana use and failed drug tests. He was even questioned in relation to a shooting after a fight at a Gainesville, Florida, nightclub. By the time he was drafted in 2010 by the New England Patriots, Hernandez had already been labeled a ""troubled player."" But neither the Patriots nor the NFL has anything to be ashamed of in how they handled the Hernandez case. They did everything right this time. Hours after Hernandez was charged with murder, he was let go from the team. And his coaches didn't spend any time trying to convince the public that their star tight end was a decent, family-loving guy, as the league has done too many times in the past when its players got in trouble. This time justice worked. There's no reason to second-guess what went wrong, to ask ""How could a star NFLer be a murderer?"" The NFL for the most part does a great job vetting its players, and certainly Hernandez is an anomaly in the league, where despite the ugly headlines, the overwhelming majority of players are upstanding, law-abiding citizens. And Patriots bashers (me included) would be mistaken to try to find fault with the team for drafting Hernandez despite his troubled past. No one really knows what evil lurks in the hearts of others, even those closest to us. Not the mothers whose sons go off and commit schoolyard killing sprees, or wives whose husbands gun down innocent people, and certainly not employers who are mostly concerned about performance on the job. There was no way to predict Hernandez would end up a murderer. He was a guy who had all the talent and opportunity in the world, but he still went wrong. Hernandez himself may have explained it best as he was being taken out of the courtroom: . According to a law enforcement source close to the case, Hernandez told officers escorting him, ""'Hey man, I'm going to miss you guys. ... I don't need any luck any more.' He gave you the impression, 'It's kinda like no big deal. ... It is what it is.' ""","Roxanne Jones: Jury right to find Hernandez guilty, but the waste of life for player and his victim is tragic . She says NFL, Patriots knew his troubled past, but could not have predicted his actions, and both handled case well ."
"Playing video games makes you better at learning than non-gamers, a study has claimed. Research found that gaming boosts the ability to learn a number of tasks more accurately, and possibly puts gamers in an 'expert category' of problem solving. But the researchers note they are not quite sure if gaming makes people learn skills better - or if people who learn skills better are more likely to become gamers. Playing video games (stock image shown) may not only improve the ability to perform visual tasks, but also the learning ability for those skills, a study by Brown University in Rhode Island has claimed . The research was carried out by scientists at Brown University in Rhode Island. To conduct the study, the researchers pitted nine frequent gamers against a control group of nine people who game rarely, if ever. They participated in a two-day trial of visual task learning. Subjects were shown an on-screen ‘texture’ of either visual or horizontal lines and had to quickly point out - in a fraction of a second - the one area where an anomalous texture appeared. Parents are in danger of being reported to police by their children's head teachers if they allow them to play video games for over 18s. A letter sent by a group of schools in Cheshire raised concerns about the 'levels of violence and sexual content' young people are being exposed to by playing games such as Call of Duty and Grand Theft Auto, which are renowned for their violent characters and have an 18 classification. It warns that if teachers are made aware their pupils have been playing these video games they will contact police and social services. The letter, sent by Nantwich Education Partnership, said allowing children to play these type of games on Xboxes and Playstations is deemed 'neglectful'. In visual processing research this is a standard protocol called a ‘texture discrimination task.’ Prior studies have shown that people can be trained to improve their performance in the task, but if they move on to a second task too quickly, it can interfere with the learning process. The researchers wanted to find out if gamers could overcome this interference better, compared to non-gamers. And the results showed that gamers managed to improve performance on both tasks, while non-gamers did what was expected. That is, they improved on the second task they trained on, but not on the first. Learning the second task interfered with learning the first. The data show that gamers on average improved their combination of speed and accuracy by about 15 per cent on their second task and about 11 per cent on their first task. Non-gamers produced the same average 15 per cent improvement on their second task, but they actually got a bit worse on the first task they learned, by about 5 per cent. Research subjects were shown an on-screen texture of short lines - either vertical or horizontal, first one then the other - and were asked to spot anomalies. Their responses were measured in milliseconds. Gamers were shown to be more successful when learning both tasks than non-gamers . Despite the small number of participants, the results proved statistically significant. ‘When we study perceptual learning we usually exclude people who have tons of video game playing time because they seem to have different visual processing. They are quicker and more accurate,' said senior author Dr Yuka Sasaki, associate professor of cognitive, linguistic and psychological sciences at Brown University. ‘But they may be in an expert category of visual processing. ‘We sometimes see that an expert athlete can learn movements very quickly and accurately and a musician can play the piano at the very first sight of the notes very elegantly, so maybe the learning process is also different. ‘Maybe they can learn more efficiently and quickly as a result of training.’ The exact neural mechanisms underlying visual or perceptual learning are not yet known, Dr Sasaki said, but the study suggests that gamers may have a more efficient process for hardwiring their visual task learning than non-gamers. ‘It may be possible that the vast amount of visual training frequent gamers receive over the years could help contribute to honing consolidation mechanisms in the brain, especially for visually developed skills,’ the researchers wrote. After training on both backgrounds, testing showed that video gamers had done better at learning the first and second. Non-gamers actually did worse on the first. But it was unresolved whether video games improve visual learning or whether good visual learners tend to play more video games . Being certain will require more research. Importantly, the study doesn't prove whether playing video games improves learning ability or whether people with an innate ability become gamers because they find gaming more rewarding. The study also...","Researchers at Brown University studied how people learned tasks . It has already been shown gamers learn visual tasks better . But in this study they had higher performance across two tasks . 'They may be in an expert category of visual processing,' said Dr Sasaki ."
"Lewis Hamilton remains the richest sportsman in Britain with a fortune of £88million but Wayne Rooney has overtaken Jenson Button to be in second place in the 2015 Sunday Times Sport Rich List. Formula One world champion Hamilton, who lives as a tax exile in Monaco, remains on pole position in the list but his fortune has spiralled by £20million on last year. Hamilton has his sights on retaining his world championship title after winning three of the first four races of the season, and is set to sign a new contract with Mercedes worth £27million a year. Lewis Hamilton is top of the 2015 Sunday Times Sport Rich List with a fortune of £88million . Hamilton and actress Olivia Munn film scenes in Rome for Zoolander 2 on Friday . The scene seems to show the celebrities and fashionistas have gathered to watch Zoolander's latest show . Hamilton and Munn happily chatted and checked out each other's phones in between takes . The list was released just hours after Hamilton was pictured on the Rome set for the filming of comedy sequel Zoolander 2 on Friday. Hamilton was sat front row with Olivia Munn and busily chatting in between takes for the film which will be released in February 2016. Hamilton is making his first live-action cameo on the big screen having previously lent his voice to Disney animation Cars 2. Rooney's overall wealth is up £12million to £72million, and the Manchester United and England skipper remains on course to join David Beckham as the only British footballer to amass a fortune of more than £100million. Rooney's £300,000-a-week contract with United still has another four seasons to run, and he is just two goals short of Sir Bobby Charlton's record of 49 goals for England. Button is £1million behind Rooney and though his net worth has grown by £8million in the past year, he signed a new contract on a reduced salary of around £8 million a year last December. Manchester United captain Wayne Rooney has moved up into second place with wealth of £72m . Formula One driver Jenson Button is just £1m behind Rooney with a fortune of £71m . Andy Murray (left) takes up fourth place on the Rich List with wealth put at £48m . Liverpool captain Steven Gerrard is in sixth place on £42m, but is £2m behind Rio Ferdinand . Tennis player Andy Murray is now fourth on the list with wealth put at £48million. The 27-year-old signed a three-year deal with Standard Life last year and also left the Adidas stable to take up a new £15m four-year deal with American clothing brand Under Armour. Rio Ferdinand (£44million) is ahead of former England team-mate Steven Gerrard (£42million), while British NBA star Luol Deng, who plays for Miami Heat, has a fortune of £40million. Chelsea manager Jose Mourinho (£40m) is next on the list ahead of Arsenal's Arsene Wenger (£38m) who is tied in 10th position with Ryan Giggs, the 41-year-old who is now the assistant manager of Manchester United. British NBA star Luol Deng (right) in action for the Miami Heat - and his wealth is put at £40m . Chelsea manager Jose Mourinho is in seventh position with £40m, which is £2m more than Arsene Wenger .",Lewis Hamilton's fortune has spiralled by £20m to £88m in the past year . Wayne Rooney is now second in the Sunday Times Sport Rich List . The Manchester United captain's fortune is up £12m to £72m . F1 driver Jenson Button is £1m behind Rooney in third place .
"Luke Rockhold is ready to be the bull to Lyoto Machida's matador when the middleweights collide in New Jersey on Saturday. The Californian is bidding for his fourth consecutive victory since losing to Vitor Belfort two years ago and has a title shot in his sights. And he knows exactly what it will take to beat Machida. Lyoto Machida (left) and Luke Rockhold face off ahead of their middleweight clash this weekend . 'A big set of balls. I've just got to come forward and go out there and dominate him,' he said. 'Machida likes to run around and dance and do his thing. I've just got to cut him off, slowly progress and be the bull. He tries to be the matador – sometimes you've got to play one role or the other and this is the time to be the bull and slowly progress, put him in a bad spot and make him fight my fight. 'I've seen little things that he doesn't like – there's plenty of other fights too that I've seen that show a lot of holes and areas where I can take advantage of. 'You see fights where guys stand in the middle ground too long – I've just got to make him think about everything. I'm a true mixed martial artist; I have everything to my game. He's got to think about me taking him down, and then my kicks and my punches and everything that I bring to the table. 'Machida has got a very small avenue to win this fight on the feet. Other than that, my avenue is quite big comparably to his.. He doesn't really have much of a chance on the ground. Rockhold performs during an open workout as he bids to extend his winning streak to five . Machida lands a side kick as he works out in front of fans and media . 'I'll be operating at a different frequency than him – he doesn't have the hip movement and the speed to keep up with me.' And while Rockhold afforded Machida his respect, he has no plans to let it get in the way of victory. 'I think there is a mutual respect between Machida and me – I respect what he does,' he said. 'He's one of the best in the game and has been for a long, long time. 'He's right here at the top, where he's been for the whole of his career. He's a martial artist – he lives by the code. A lot of people love his fighting style, a lot of people hate his fighting style, but you have to respect his fighting style . 'I respect what he does and I like a lot of the things he does. But at the same time, I'm going to go out there and show him my style and dominate. 'I've been running marathons every day so I'm ready to go in there and chase him down.' Rockhold's last victory came against Michael Bisping last November in Australia . Machida is also coming off the back of a victory, against CB Dollaway in Brazil . Machida, meanwhile, is confident he can upset Rockhold and earn himself a title shot. 'I think if I apply my style, my technique, I can stop Luke, you know,' he said. 'If I can do my strategy, I can win the fight. 'I know there was another fight in line for the title shot - Jacare vs Yoel Romero – but now, whoever wins out of me and Luke – deserves a title shot I think. 'I can see a couple of weaknesses in Luke but it's hard to say before the fight, it's hard to foresee the fight. I have to be there to feel the fight- to see any mistakes he makes. 'I am very well prepared for this fight. I had eight weeks of camp and I had great training. Glover [Teixeira] was there and many, many other fighters. So I am feeling very well, very calm, and I think I can do a great job.'",Luke Rockhold takes on Lyoto Machida in New Jersey on Saturday . The middleweights will hope the winner will earn a title shot . Rockhold believes he has to dominate Machida to earn the win .
"Veteran actor Robert Hardy is selling his enormous collection of antiques in a £100,000 auction after deciding to downsize his home. The star, known for appearing in All Creatures Great and Small and playing Winston Churchill several times, is auctioning off more than 200 items he has collected over his career. Mr Hardy, 89, is a keen military historian who studied English with J.R.R. Tolkien and is now an expert on the medieval longbow. Sale: Actor Robert Hardy is selling off his collection of antiques including a diorama of the Battle of Agincourt . Cabinets: A pair of early Victorian items of furniture made by Gillows of Lancaster which are set to fetch up to £4,000 at the auction on Saturday . Portrait: A painting of Mr Hardy holding a longbow, reflecting his interest in medieval history . One of the most unusual items featured in the auction of his possessions is a hand-painted limewood diorama depicted the progress of the Battle of Agincourt in 3D. The piece was created by artist L.M. Rendall in the 1960s after being commissioned by Mr Hardy himself, and has an estimate of £4,000 to £6,000. There is also a longbow made from yew with a mother-of-pearl handle, as well as a portrait of Mr Hardy holding the bow, which is set to sell for up to £2,000. The actor is also selling paintings, furniture, swords, flintlock rifles, silverware and a fine collection of crystal chandeliers. Diorama: The 3D model was commissioned specially by Mr Hardy from artist L.M. Rendall in the 1960s . Close-up: The piece was rendered in amazing detail showing the progress of the battle in 1415 . Luxurious: A view of many of the items of furniture and other antiques which are being sold . Dozens of books, some dating back to the 17th century, are included in the auction which is set to take place this Saturday. A total of 238 lots are being sold by Dominic Winter auctioneers at its saleroom in South Cerney, Gloucestershire. Mr Hardy, who lives in the Cotswolds, said that he was sad to sell his collection. 'Downsizing and losing a great part of a treasured library makes for sadness,' he said. 'Entrusting it all to Dominic Winter and Co has taken away much of the pain, and through them I wish anyone who comes to possess anything that was mine as much joy and pleasure as it has given me through the years.' Historical: An early 20th-century painting of Alfred the Great rebuilding London, by Frank Owen Salisbury . Auction: The objects are being sold at Dominic Winter in Gloucestershire on Saturday . Pride: Mr Hardy pictured in 2012 with the longbow and other objects from his collection . He has built up the haul of antiques thanks to his interest in classic literature and military history. Mr Hardy was taught by Tolkien and C.S. Lewis when he studied English at Magdalen College, Oxford, and he has published two books on the history of the longbow. He was also consulted as an expert during the raising of the Tudor shipwreck the Mary Rose. Mr Hardy, a close friend of Richard Burton, worked with top actors including Laurence Olivier, John Gielgud and Judi Dench during his early days as a Shakespearean specialist. He found national fame playing vet Siegfried Farnon in All Creatures Great and Small, the hit BBC drama which aired between 1978 and 1990 and also starred Lynda Bellingham. Star: Mr Hardy, left, is known for his role as vet Siegriein the BBC's All Creatures Great and Small . Role: He has frequently played Winston Churchill in a series of television dramas . New generation: Mr Hardy appeared as Minister for Magic Cornelius Fudge in the Harry Potter films . The actor is well known for portraying Winston Churchill in a number of television performances, and has also played Churchill's fellow Second World War leader Franklin D. Roosevelt. More recently, he introduced himself to a younger generation of viewers with an appearance in the Harry Potter films, where he played Cornelius Fudge, the Minister for Magic. Mr Hardy was forced to retire from stage acting two years ago, when he suffered a fall while playing Churchill again in The Audience, a West End play about the Queen which starred Helen Mirren. However, he has insisted that he will continue to do television work despite his advanced age.","Robert Hardy, 89, is a military enthusiast who studied English literature under J.R.R. Tolkien . He is selling off a huge collection of books, artwork and furniture . Among the objects which have gone up for auction are a huge 3D diorama of the Battle of Agincourt ."
"A Russian warship and two bombers strayed close to UK territory yesterday in yet another apparent attempt to test Britain’s defences. A destroyer equipped with missiles, anti-aircraft guns and torpedoes entered the English Channel along with two other Russian ships. It forced the UK to send a heavily-armed frigate to monitor the vessels. A map showing the how jets were launched from RAF Lossiemouth yesterday, shortly after HMS Argyll was deployed to monitor a Russian destroyer and two other ships as they passed through the English Channel . Just a few hours later, two Russian long-range Bear bombers, capable of carrying nuclear missiles, hugged British airspace – prompting the RAF to deploy two Typhoon fighter jets. Sources claim both incidents may have been an attempt to ‘snoop’ on a huge Nato war games exercise taking place in Scotland. Even though Russian military inspectors were invited to attend the show of strength, the timing raised suspicions that Vladimir Putin was using access to the site to test UK reaction times. It later emerged that the Russians had actually been at the Typhoons’ base at RAF Lossiemouth when the warplanes were scrambled. No explanation: Experts said Russian President Vladimir Putin's move to send planes capable of carrying cruise missiles so close to British shores could be seen as an act of aggression . Two Typhoon jets from RAF Lossiemouth in Scotland, pictured in 2012, to escort the Russian planes . Under watch: The Royal Navy monitored a Russian Udaloy class destroyer (not pictured) along with a tanker and a support ship as they passed through the English Channel . The Russian aircraft are believed to be 'Bear' bombers that were first shadowed by Norwegian air force jets before they approached British airspace (stock image) April 2014 - A Russian fighter plane makes repeated passes of American warship the USS Cook in the Black Sea. If armed the ship's commander could have targeted the aircraft in self defence . June 2014 - HMS Montrose was sent to monitor a Russian corvette in international waters near Denmark's Baltic coast. The frigate was then circle by a Russian maritime patrol craft . October 2014 - RAF Typhoons intercepted a Russian Bear aircraft over the North Sea and Russian warships pass through the Channel escorted by the Navy . October 30, 2014 - 26 Russian bombers, tankers and fighter jets on military exercises are intercepted around Europe in just 24 hours. Jets are scrambled by the RAF and allies in Germany, Portugal and Turkey after the 'unusual' spike in activity, which saw two giant Tu-95 Bear H bombers fly close to Britain . November 2014 - HMS Argyll monitors a heavily armed Russian warship as it strayed close to the UK while passing through the English Channel and Strait of Dover . January 2015 - Typhoons were dispatched from RAF Lossiemouth in Scotland and RAF Coningsby in Lincolnshire to intercept two Russian bombers capable of carrying nuclear missiles as they flew south of Bournemouth . February 17, 2015 - HMS Argyll intercepts a Neustrashimy-class warship and its accompanying tanker as they headed home after a deployment in the Mediterranean in the English Channel . February 19, 2015 - Two RAF Typhoon jets scrambled from RAF Coningsby in Lincolnshire to escort two Russian bombers in international airspace off the coast of Cornwall. April 2015 - Royal Navy's HMS Argyll monitors Russian Udaloy class destroyer Severomorsk along with a tanker and a support ship as they move through the English Channel. The incursions are the latest in a long line of apparent tests by Moscow as tensions between Britain and Russia rise. The Nato naval operation – Exercise Joint Warrior – was aimed at encouraging Mr Putin to calm his recent aggression toward the UK. But Sir Michael Graydon, former head of the RAF, said the Kremlin was using Cold War tactics to ‘snoop’ on the exercise and called for higher defence spending to defeat a ‘resurgent’ Russia. He said: ‘This is a classic return to the 70s and 80s when every exercise conducted by Nato was snooped on. ‘We’ve trumpeted the fact we are holding such a large exercise and the fact they are snooping on it doesn’t surprise me at all.’ He added that Britain should spend more on defence: ‘Our capability to deal with these sorts of threats is diminishing because we don’t have the manpower... we need resilience.’ A source added: ‘It may be that they are observing the military exercise being held off the coast of Scotland.’ Under a European treaty, the Ministry of Defence were forced to accept an inspection by Russian experts and they arrived in Scotland on Monday. Yesterday the destroyer Severomorsk, a tanker and a support ship returning from the Mediterranean were intercepted by the Royal Navy as they...",RAF jets escorted two Russian military aircraft close to UK airspace . The Typhoons were scrambled from RAF Lossiemouth in Scotland . HMS Argyle also monitoring three Russian ships in English Channel . It comes at a time of heightened tension between Britain and Russia .
"(CNN)Marco Rubio is all in.  The Republican senator from Florida has announced that he is seeking the Republican presidential nomination, running on an optimistic message that he embodies the promise of the American Dream. With his youthful energy and Hispanic roots, it's tempting to see Rubio as the new blood that the GOP needs in order to compete against Hillary Clinton in 2016.  Yet Rubio has been his own worst enemy on what could have been his two signature issues: immigration reform and Cuba relations.  He holds little appeal to Latino voters.  And unless he can offer new ideas, his climb to the Republican nomination will be steep. Back in 2013, Rubio was a member of the Senate ""Gang of 8"" that crafted a bipartisan proposal for comprehensive reform, including a path to citizenship for the nation's estimated 11 million undocumented immigrants.  He later distanced himself from the bill after it ran into resistance from House Republicans, and now says he favors a piecemeal approach, starting with securing the border. His retreat on immigration means that Rubio has missed an opportunity to set himself apart from most of the presumptive Republican presidential candidates.  That's a shame, for this issue was supposed to be his calling card to Latino voters. Instead, Rubio has embraced a typical conservative approach to immigration.   He believes that President Obama's Deferred Action program, offering deportation relief to young immigrants, should be ended.  He has stated that the President's executive action on immigration, on hold pending a circuit court review, sets a ""horrifying precedent."" Meanwhile, both the Deferred Action program and President Obama's executive action on immigration are overwhelmingly favored by Hispanics.  No wonder the research firm Latino Decisions reports that, ""We find no evidence that Rubio's candidacy will draw significant Latino support for his candidacy or for his party more generally.""  So, if Rubio is counting on his ethnicity and personal history as the son of immigrants to win over fellow Hispanics, he is mistaken. At a private breakfast Monday for supporters, Rubio described running against ""one candidate in the race who's from yesterday, and one who wants to take us back to yesterday.""  But when it comes to Cuba policy, Rubio himself seems firmly stuck in the past.  Over the weekend, he called the recent thaw in relations between the two countries ridiculous. He has warned that Cuba is taking advantage of the United States.  Here, he is an increasingly lonely voice.  Most Americans support better relations with Cuba, as do a majority of Cuban-Americans.  By clinging to the notion that isolating Cuba is better than engaging with the communist country, Rubio has marginalized himself on an issue where he could have provided insight and leadership. Immigration and Cuba policy aside, Rubio's political philosophy will be a tough sell to Hispanics.  He is a fierce opponent of ""Obamacare"" and wants the law repealed.  However, the Affordable Care Act has led to a 12.3% drop in the Hispanic uninsured rate, making Latinos the demographic with the largest gain in insurance, thanks to the law.  (In fact, Rubio signed his own family up for ""Obamacare"" on the Washington exchange, taking advantage of a generous federal subsidy offered to lawmakers.) Rubio favors smaller government, while Latinos are more likely than the general public to say they favor a bigger government that provides more services over a small government that provides less.  And though Rubio doubts that climate change is caused by humans, The New York Times has noted that Latinos view global warming as a problem and favor government action on the issue. Sure, Rubio is young and charismatic.  But his work on the failed immigration bill notwithstanding, Rubio has a significant lack of accomplishments to show for his five years in the senate.  In February, he was reported as topping the list of absentee lawmakers by the website Politico. Another Rubio weakness is his lack of bold policy proposals.  Consider that his fellow contender for the GOP presidential nomination, Sen. Rand Paul of Kentucky, has been willing to present new ideas to the Republican base, such as reforming the criminal justice system and legalizing medical marijuana.  Or that another GOP candidate for president, Sen. Ted Cruz  of Texas is entirely comfortable with his image as a conservative firebrand.  By comparison, Rubio seems cautious and ill-suited to the task of rousing Republican voters. With his early leap into the 2016 race, Marco Rubio is positioning himself as the next generation of GOP leadership.  Unfortunately, a fresh face on stale ideas is not a winning combination -- not for Rubio, and not for Latino voters.","Raul Reyes: In seeking Latino vote, Marco Rubio his own worst enemy on two key issues: immigration reform, Cuba relations . He says on health care, climate change and other issues, he breaks from Latinos' positions. Polls show they don't favor him ."
"A leading Australian military adviser who worked for the federal government, the RAAF and Governor-General Sir Peter Cosgrove in East Timor has been arrested in the US on child pornography charges. Dr Adam Cobb was taken into custody on Friday in Portsmouth, New Hampshire, for receipt and distribution of child pornography after allegedly uploading images of child pornography to the social networking site, Tumblr. If convicted he faces 20 years' jail in the US. Dr Adam Cobb was taken into custody on Friday in Portsmouth, New Hampshire, for receipt and distribution of child pornography after allegedly uploading images of child pornography to the social networking site, Tumblr . The 45-year-old was in the US working as a research professor and director at the prestigious US Naval War College in Rhode Island. Cobb took up the position at the US Naval War College in June last year after holding senior military and government roles in Australia and the US, including a recent strategic policy and planning position at US Special Operations Command in Tampa, Florida. 'I can confirm that he was a civilian employee and director of the Mahan Advanced Research Project at the US Naval War College,' Captain Christopher Dicomitis, a Rhode Island State Police detective, told AAP on Sunday. Cobb appeared in the US District Court in Providence on Friday and was refused bail. An investigation began in January when The National Centre for Missing and Exploited Children reported an individual in Rhode Island had uploaded child pornography to Tumblr. The internet connection at Cobb's Portsmouth home was identified as the origin of the images. Cobb was in the US working as a  director at the prestigious US Naval War College in Rhode Island after holding senior military and government roles in Australia, including the RAAF . Laptops and mobile phones were seized from his home, while photos and videos of two females were also discovered on a storage device and a computer allegedly belonging to Cobb. Educated at the University of Sydney, Australian National University and University of Cambridge, Cobb built a reputation as a leading military thinker. According to his biography on the US Naval War College website, Cobb worked on the 1999-2000 East Timor crisis with Major General Cosgrove, who at the time was commander of the international peacekeeping mission. 'Overall, my commanders and I found Dr Cobb's work a valuable contribution to our understanding of important issues before us,' Maj Gen Cosgrove wrote in a review of Cobb's work as lead analyst for the Australian Parliament Defence Office. In Australia he was special-director, strategic policy with the RAAF; senior defence adviser for the Australian parliament; an Australian parliamentary fellow; and research fellow at Australian National University's strategic and defence studies centre. Cobb has also worked at the Australian Embassy in Washington DC and was on the staff of former speaker of the US House of Representatives Nancy Pelosi. Dr Adam Cobb had worked for the federal government, the Royal Australian Air Force and Governor-General Sir Peter Cosgrove (pictured) in East Timor .","Dr Adam Cobb, 45, was arrested in Portsmouth, New Hampshire on Friday . He allegedly uploaded images of child pornography to Tumblr website . The 45-year-old held senior military and government roles in Australia . He was in the US working as a research professor and director at the prestigious US Naval War College in Rhode Island . If convicted of the child pornography charges he faces 20 years' jail ."
"As his Chelsea team-mates edge towards the Premier League title to end a five-year wait, Petr Cech kept himself busy as he struggles for game-time by showcasing his drumming skills. The Czech Republic international has fallen behind Belgian shot-stopper Thibaut Courtois in Jose Mourinho's pecking order this season and is expected to leave Stamford Bridge this summer with Arsenal and Liverpool among those linked. But Cech was in no mood to worry about his future as the 32-year-old posted a YouTube cover of 'Magnificent' by U2. Petr Cech posted a video via his YouTube channel, playing the drums to 'Magnificent' by U2 . Cech has won three league titles, four FA Cups and the Champions League at Chelsea since joining in 2004 . Cech has become a fans favourite at Chelsea since joining the Premier League giants in 2004 but has had to make do with the bench this season following Courtois' return to the Blues after three seasons on loan at Atletico Madrid. The shot-stopper has won three league titles, four FA Cups and the Champions League since arriving in England but is expected to leave for pastures new come the end of the season. And a move away from Stamford Bridge is looking more likely this summer as Cech revealed last month he does not want to play second fiddle to his Belgian rival next season. The Czech Republic international tweeted about his new YouTube cover to his Twitter followers on Tuesday . Former Rennes goalkeeper Cech was keen to shout about his new musical cover to his Twitter followers by tweeting about his new video. Cech Tweeted on Tuesday, 'Magnificent week so far, so here is something to listen to... My drum cover of magnificent from by U2'. It's not the first time Cech has shown off his talent on the drum kit, the Chelsea goalkeeper posted a YouTube cover of Foo Fighters hit 'Best Of You' back in December. Cech has fallen behind Belgian shot-stopper Thibaut Courtois in Jose Mourinho's pecking order this season .",Petr Cech regularly posts drum covers on his YouTube channel . Chelsea shot-stopper has struggled for game-time this season . Cech has fallen behind Thibaut Courtois in Jose Mourinho's pecking order . His side face crunch clash with Manchester United on Saturday .
"An entire herd of buffalo has been shot dead by law enforcement in upstate New York after they escaped from a farm. Around 15 animals ran away from their pen in Schodack in Rensselaer County on Thursday evening and then swam across the Hudson River. They then started running down the Thruway, a series of toll roads which link up the major cities in the state, including Buffalo and New York City. Three men hired by the farm were cleared to open fire Friday afternoon in a stream in woods in the town of Coeymans, about 10 miles south of the state capital Albany. Scroll down for video . Around 15 animals ran away from a farm in Schodack, upstate New York, on Thursday and then swam across the Hudson River. They were all shot dead by law enforcement on Friday. The herd are pictured crossing a road in Bethlehem, New York . The owner of the farm from where they escaped say the group managed to swim across the Hudson River. They then made there way towards Bethlehem, New York . An armed law enforcement official stands in the driveway near where the buffalo were on the loose . Three men hired by the farm were cleared to open fire Friday afternoon in a stream in woods in the town of Coeymans, about 10 miles south of the state capital Albany . One of the men firing at the animals gets into a heated exchange with officials before another is bundled into a car by deputies . Police say the decision was made after experts agreed tranquilizers would not be effective and no portable corrals could hold the animals. George Mesick, the farm's owner, told Albany's Times Union they must have swam across the river to the town of Bethlehem, where they wandered Friday morning between Interstate 87 and the river's west bank. The herd crossed a local road at about 11:15 a.m. and ambled onto the Thruway in a spot 10 miles south of Albany. Drivers slowed to avoid the buffalo. The animals safely crossed the northbound lanes and then trotted south on the shoulder into some woods. Mesick had previously admitted he had little hope they would be captured unharmed. 'There is a zero percent chance of getting them back right now I think. I just want to get this done with as fast as possible so that no one gets hurt,' he said earlier on Friday. He would have tried to bring the herd in himself, but they are wild and not tame.  A police helicopter was hovering over them to make sure the group did not split. The buffalo are seen heading down the side of the interstate next to a sign pointing towards the Massachusetts Turnpike and Boston . Vehicles were forced to slow down as they tried to avoid the rampaging animals running beside the busy road . The animals safely crossed the northbound lanes on Friday morning and then trotted south on the shoulder into some woods .",15 animals escaped from a farm in Schodack in upstate New York on Thursday evening then crossed the river . They safely crossed roads and made it onto the Thurway which links up the major cities in the state . However authorities took the decision to gun them down because they posed a danger to the public . Police say the decision was made after experts agreed tranquilizers would not be effective .
